movie_id,movie_title,director(s),top_5_cast
950396,The Gorge,Scott Derrickson,"Miles Teller (Levi)
Anya Taylor-Joy (Drasa)
Sigourney Weaver (Bartholomew)
Ṣọpẹ́ Dìrísù (J.D.)
William Houston (Erikas)"
507086,Jurassic World Dominion,Colin Trevorrow,"Chris Pratt (Owen Grady)
Bryce Dallas Howard (Claire Dearing)
Laura Dern (Ellie Sattler)
Sam Neill (Alan Grant)
Jeff Goldblum (Ian Malcolm)"
1090007,First Shift,Uwe Boll,"Gino Anthony Pesi (Deo)
Kristen Renton (Angela)
James McMenamin (Paul)
Willie C. Carpenter (Willy)
Daniel Sauli (Jack)"
1429834,Almost Family,Felipe Joffily,"Leandro Hassum (Otávio)
Júlia Svacinna (Mariana)
Gabriel Goity (Héctor)
Simón Hempe (Miguel)
Karina Ramil (Joana)"
1127110,Diablo,Ernesto Díaz Espinoza,"Scott Adkins (Kris Chaney)
Marko Zaror (El Corvo)
Alanna de la Rosa (Elisa)
Diana Hoyos (Alex)
Lucho Velasco (Vincente)"
1156593,Your Fault,Domingo González,"Nicole Wallace (Noah Morgan)
Gabriel Guevara (Nick Leister)
Marta Hazas (Rafaela)
Iván Sánchez (William Leister)
Eva Ruiz (Jenna)"
939243,Sonic the Hedgehog 3,Jeff Fowler,"Jim Carrey (Ivo Robotnik / Gerald Robotnik)
Ben Schwartz (Sonic (voice))
Keanu Reeves (Shadow (voice))
Idris Elba (Knuckles (voice))
Colleen O'Shaughnessey (Tails (voice))"
10191,How to Train Your Dragon,"Chris Sanders, Dean DeBlois","Jay Baruchel (Hiccup (voice))
Gerard Butler (Stoick (voice))
Craig Ferguson (Gobber (voice))
America Ferrera (Astrid (voice))
Jonah Hill (Snotlout (voice))"
1250620,La coda del diavolo,Domenico Emanuele de Feudis,"Luca Argentero (Sante Moras)
Cristiana Dell'Anna (Fabiana Lai)
Francesco Acquaroli (Commissario Lago)
Gennaro Diana (Brosu)
Luca Pusceddu"
1285728,A Normal Woman,Lucky Kuswandi,"Marissa Anita (Milla)
Dion Wiyoko (Jonathan)
Gisella Anastasia (Erika)
Widyawati Sophiaan (Liliana)
Mima Shafa (Angel)"
447273,Snow White,Marc Webb,"Rachel Zegler (Snow White)
Gal Gadot (Evil Queen)
Andrew Burnap (Jonathan)
Andrew Barth Feldman (Dopey / Narrator (voice))
Jeremy Swift (Doc (voice))"
1241436,Warfare,"Ray Mendoza, Alex Garland","D'Pharaoh Woon-A-Tai (Ray)
Will Poulter (Erik)
Cosmo Jarvis (Elliott)
Kit Connor (Tommy)
Finn Bennett (John)"
533535,Deadpool & Wolverine,Shawn Levy,"Ryan Reynolds (Wade Wilson / Deadpool / Nicepool)
Hugh Jackman (Logan / Wolverine)
Emma Corrin (Cassandra Nova)
Matthew Macfadyen (Mr. Paradox)
Dafne Keen (Laura / X-23)"
1022789,Inside Out 2,Kelsey Mann,"Amy Poehler (Joy (voice))
Maya Hawke (Anxiety (voice))
Kensington Tallman (Riley (voice))
Liza Lapira (Disgust (voice))
Tony Hale (Fear (voice))"
157336,Interstellar,Christopher Nolan,"Matthew McConaughey (Cooper)
Anne Hathaway (Brand)
Michael Caine (Professor Brand)
Jessica Chastain (Murph)
Casey Affleck (Tom)"
757725,Shadow Force,Joe Carnahan,"Kerry Washington (Kyrah)
Omar Sy (Isaac)
Jahleel Kamara (Ky Sarr)
Mark Strong (Jack Cinder)
Da'Vine Joy Randolph (Auntie)"
1412113,Squid Game: Making Season 2,N/A,"Hwang Dong-hyuk (Self)
Lee Jung-jae (Self)
Lee Byung-hun (Self)
Chae Kyoung-sun (Self)
Kim Ji-yong (Self)"
82702,How to Train Your Dragon 2,Dean DeBlois,"Jay Baruchel (Hiccup (voice))
Cate Blanchett (Valka (voice))
Gerard Butler (Stoick (voice))
Craig Ferguson (Gobber (voice))
America Ferrera (Astrid (voice))"
1100842,新婚シリーズ　最初が肝心,Shigeaki Hidaka,"Kenji Imai
Hiroshi Minami
Hitomi Nakahara
Hisako Tsukuba
Machiko Yashiro"
1477114,Sorority,Sigrid Polon,"Azi Acosta (Cassidy)
Apple Dy (Selene)
Rinoa Halili (Sandra)
Julianne Richards (Rina)
Jackie Lyn Barcebal (Mrs. Sy)"
519182,Despicable Me 4,Chris Renaud,"Steve Carell (Gru (voice))
Kristen Wiig (Lucy (voice))
Will Ferrell (Maxime (voice))
Sofía Vergara (Valentina (voice))
Miranda Cosgrove (Margo (voice))"
1053583,8,Julio Medem,"Ana Rujas (Adela)
Javier Rey (Octavio)
Tamar Novas (Venancio Padre)
Loreto Mauleón (Claudia)
Carla Díaz (Rosa / Inés (24) (40))"
1175942,The Bad Guys 2,Pierre Perifel,"Sam Rockwell (Wolf (voice))
Marc Maron (Snake (voice))
Craig Robinson (Shark (voice))
Anthony Ramos (Piranha (voice))
Awkwafina (Tarantula (voice))"
